MaxResAmp,MaxResFreq,SecMaxResAmp,SecMaxResFreq,TotalPhaseShift,Med10ResAmp,Med10ResFreq,MeanGDR,Damage
0.020318,0.0040649,2566,2188,3.56E+05,0.0053747,3702.5,0.079966,0
0.021263,0.0029071,2561,3595,3.56E+05,0.0060672,3318.5,0.077076,0
0.024751,0.0034853,2549,1863,4.30E+05,0.0057213,2732,0.097004,0
0.014497,0.0020272,1898,3711,3.63E+05,0.0036631,2793.5,0.060361,0
0.02227,0.0027398,2565,19,2.82E+05,0.0059819,2725.5,0.059793,0
0.024627,0.0030314,2493,1925,3.83E+05,0.0031016,4413.5,0.075398,0
0.011878,0.0022276,2032,3781,2.49E+05,0.0038162,2901,0.03888,0
0.017422,0.0063497,2470,1347,3.72E+05,0.0067057,3658,0.080203,0
0.0074226,0.0047497,2166,1337,3.35E+05,0.0033036,3658,0.063182,0
0.017226,0.0048731,2504,1323,3.83E+05,0.0055647,3663,0.08537,0
0.02191,0.0033323,2565,2174,3.88E+05,0.006576,2728,0.094139,0
0.01883,0.0030578,2543,1270,2.71E+05,0.0058468,2730.5,0.056848,0
0.01325,0.0039024,2554,1287,3.49E+05,0.0046982,3670,0.079678,0
0.0106,0.0026778,2555,2196,2.84E+05,0.0025977,5002,0.049206,0
0.0065156,0.0086955,2490,1371,3.58E+05,0.0037206,5150.5,0.089817,0
0.023611,0.0038138,2470,1364,3.79E+05,0.0058233,2653.5,0.068975,0
0.0092041,0.0050804,1641,1353,3.23E+05,0.0029353,3836,0.067435,0
0.021906,0.0037588,2566,2219,3.84E+05,0.002935,3137.5,0.085283,0
0.023555,0.0063022,2472,1707,3.45E+05,0.0063795,3839,0.085026,0
0.0092339,0.0023814,2011,3669,3.04E+05,0.0025823,3698,0.067991,0
0.009016,0.0030059,2517,1358,3.06E+05,0.0024546,5175,0.052062,0
0.0063905,0.0035803,2017,3665,3.25E+05,0.0033128,3713,0.071118,0
0.0089641,0.0095745,2524,1347,1.08E+05,0.0035333,5112,0.013994,0
0.012169,0.003225,1914,3793,3.31E+05,0.0038385,3408,0.078017,0
0.014607,0.0033408,2021,2245,3.68E+05,0.0047902,3842.5,0.079195,0
0.01002,0.0028455,2033,3756,3.42E+05,0.0031514,3488,0.081892,0
0.024275,0.0059511,2466,1365,3.62E+05,0.0051442,2310,0.087554,0
0.010788,0.0073947,2175,1383,3.90E+05,0.0041031,3093,0.089625,0
0.0076823,0.0041054,2059,1346,3.72E+05,0.0024646,4626.5,0.076675,0
0.014142,0.0027962,2561,2231,3.55E+05,0.0044832,2743.5,0.077117,0
0.023372,0.0034394,2572,3644,3.58E+05,0.0034033,4068.5,0.072326,0
0.020176,0.002308,2575,2267,2.47E+05,0.0052602,3894,0.04539,0
0.0089355,0.0041722,2551,1326,2.51E+05,0.0044186,3688,0.036581,0
0.01273,0.0029241,2493,1161,3.59E+05,0.0036506,2865,0.080866,0
0.022174,0.0016278,2530,2396,2.54E+05,0.0051469,3636.5,0.042691,0
0.029131,0.0026906,2487,1965,4.13E+05,0.0023322,3091,0.097264,0
0.014978,0.0041924,2176,1362,3.48E+05,0.0056895,2334,0.070181,0
0.015947,0.0024661,2579,1976,3.58E+05,0.0024469,4045.5,0.10301,0
0.013076,0.0015313,2177,3299,2.35E+05,0.0029916,3602.5,0.033705,0
0.0164,0.0080728,2549,1289,4.17E+05,0.0058108,3832.5,0.094263,0
0.022997,0.0059749,2522,1730,3.74E+05,0.0043178,3086.5,0.088478,0
0.02324,0.0024588,2572,2229,3.02E+05,0.0025866,3120,0.080248,0
0.025882,0.0026589,2580,565,3.04E+05,0.0027041,3127.5,0.056221,0
0.016655,0.0016161,2357,1454,3.89E+05,0.0018058,2961,0.09137,0
0.0079248,0.00079834,2462,3626,2.78E+05,0.0013567,2799.5,0.054399,0
0.042431,0.0028086,2474,1182,2.84E+05,0.0058798,2620.5,0.06879,0
0.022584,0.0061169,2469,1461,4.15E+05,0.0058817,2633.5,0.070026,0
0.024233,0.002445,2479,1439,2.76E+05,0.0021896,3742.5,0.061876,0
0.026834,0.0020086,2444,2256,3.97E+05,0.0040243,2600.5,0.092991,0
0.022112,0.0071252,2475,1275,3.80E+05,0.0062785,2622.5,0.067077,0
0.034642,0.0023365,2422,2213,2.94E+05,0.0043394,2568,0.084543,0
0.028307,0.0064853,2487,1233,2.97E+05,0.0056856,2644,0.061773,0
0.028866,0.0051551,2502,1198,3.59E+05,0.0073284,2358,0.062963,0
0.022111,0.00097389,2488,2313,2.63E+05,0.0056418,2331.5,0.035635,0
0.024733,0.0038542,2482,1223,2.94E+05,0.0044481,2642,0.049069,0
0.029317,0.006014,2448,1308,3.72E+05,0.0048299,2282.5,0.088756,0
0.016051,0.012185,2445,1341,3.71E+05,0.0039796,2582,0.076463,0
0.027606,0.0023408,2440,1269,3.68E+05,0.0040274,3604,0.083953,0
0.031424,0.0010652,2431,1692,3.52E+05,0.0031256,2270.5,0.06146,0
0.025704,0.0043383,2444,1319,3.87E+05,0.0041251,2279.5,0.083483,0
